x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
-30.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
0.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
5.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
10.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,25.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
0.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
5.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
10.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,30.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-25.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-20.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-15.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-10.0,-30.0,-260.0,ok,ok,12.143854751191032,0.6875289314385844,4.415095885126533,-10.000000000002403,-30.00000000000756,-260.0000000000633,6.38185472001571e-11,5,3.5099219530820847e-08
-5.0,-30.0,-260.0,ok,ok,12.209677268991468,1.685444998143891,3.5498370934310715,-5.000000000003958,-30.00000000002221,-260.0000000001965,1.977986172834546e-10,5,1.0852818377315998e-07
0.0,-30.0,-260.0,ok,ok,12.231619559071499,2.6397642248011772,2.6397642248011772,3.443151727440768e-15,-30.000000000018602,-260.0000000001653,1.6634405194454333e-10,5,9.125506039708853e-08
5.0,-30.0,-260.0,ok,ok,12.209677268991468,3.5498370934310715,1.685444998143891,5.000000000003958,-30.00000000002221,-260.0000000001965,1.977986172834546e-10,5,1.0852818377315998e-07
10.0,-30.0,-260.0,ok,ok,12.143854751191032,4.415095885126533,0.6875289314385844,10.000000000002403,-30.00000000000756,-260.0000000000633,6.38185472001571e-11,5,3.5099219530820847e-08
15.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
20.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
25.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
30.0,-30.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
-25.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
-20.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
-15.0,-25.0,-260.0,ok,ok,11.227520243225367,0.4263316944345457,6.0150056702595105,-15.000000000006633,-25.000000000010985,-260.0000000001164,1.1712041989812243e-10,5,6.423215381801128e-08
-10.0,-25.0,-260.0,ok,ok,11.337502206414197,1.4682007945659437,5.195940197291599,-10.000000000001894,-25.00000000000466,-260.00000000004707,4.733448533863164e-11,5,2.6033376343548298e-08
-5.0,-25.0,-260.0,ok,ok,11.403500516386146,2.466766201905101,4.331223804676656,-5.000000000000593,-25.000000000002704,-260.000000000027,2.7142130305086623e-11,5,1.4901161193847656e-08
0.0,-25.0,-260.0,ok,ok,11.425501494989716,3.4213171248108516,3.4213171248108516,3.5526646170783116e-15,-25.00000000000193,-260.00000000002257,2.2649142928099726e-11,5,1.234002411365509e-08
5.0,-25.0,-260.0,ok,ok,11.403500516386146,4.331223804676656,2.466766201905101,5.000000000000593,-25.000000000002704,-260.000000000027,2.7142130305086623e-11,5,1.4901161193847656e-08
10.0,-25.0,-260.0,ok,ok,11.337502206414197,5.195940197291599,1.4682007945659437,10.000000000001894,-25.00000000000466,-260.00000000004707,4.733448533863164e-11,5,2.6033376343548298e-08
15.0,-25.0,-260.0,ok,ok,11.227520243225367,6.0150056702595105,0.4263316944345457,15.000000000006633,-25.000000000010985,-260.0000000001164,1.1712041989812243e-10,5,6.423215381801128e-08
20.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
25.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
30.0,-25.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,-20.0,-260.0,fail,ik_reject,,,,,,,,,
-25.0,-20.0,-260.0,fail,ik_reject,,,,,,,,,
-20.0,-20.0,-260.0,ok,ok,10.21746043813876,0.07705349538366105,7.521705358464145,-20.00000000000643,-19.999999999980965,-260.00000000008913,9.136706611350264e-11,5,4.493631422519684e-08
-15.0,-20.0,-260.0,ok,ok,10.37174961187021,1.1626474028164597,6.750086481551099,-15.000000000001242,-20.00000000000471,-260.0000000000215,2.2032190543353862e-11,5,1.234002411365509e-08
-10.0,-20.0,-260.0,ok,ok,10.481979651343265,2.205290303648629,5.932134695326162,-10.00000000000037,-20.000000000001307,-260.0000000000083,8.409608730052965e-12,5,4.685716703534126e-09
-5.0,-20.0,-260.0,ok,ok,10.548127270668154,3.2042107325033604,5.068199226571984,-5.000000000000262,-19.99999999999998,-260.00000000000466,4.6685673156490296e-12,5,2.546585164964199e-09
0.0,-20.0,-260.0,ok,ok,10.570178096501111,4.158716713972316,4.158716713972316,-2.1147858935440323e-15,-20.000000000001386,-260.0000000000034,3.681304624082634e-12,5,2.066371962428093e-09
5.0,-20.0,-260.0,ok,ok,10.548127270668154,5.068199226571984,3.2042107325033604,5.000000000000262,-19.99999999999998,-260.00000000000466,4.6685673156490296e-12,5,2.546585164964199e-09
10.0,-20.0,-260.0,ok,ok,10.481979651343265,5.932134695326162,2.205290303648629,10.00000000000037,-20.000000000001307,-260.0000000000083,8.409608730052965e-12,5,4.685716703534126e-09
15.0,-20.0,-260.0,ok,ok,10.37174961187021,6.750086481551099,1.1626474028164597,15.000000000001242,-20.00000000000471,-260.0000000000215,2.2032190543353862e-11,5,1.234002411365509e-08
20.0,-20.0,-260.0,ok,ok,10.21746043813876,7.521705358464145,0.07705349538366105,20.00000000000643,-19.999999999980965,-260.00000000008913,9.136706611350264e-11,5,4.493631422519684e-08
25.0,-20.0,-260.0,fail,ik_reject,,,,,,,,,
30.0,-20.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
-25.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
-20.0,-15.0,-260.0,ok,ok,9.312484462191412,0.7689036111922168,8.210156489691583,-20.000000000001705,-15.000000000000401,-260.0000000000226,2.2691411436789118e-11,5,1.234002411365509e-08
-15.0,-15.0,-260.0,ok,ok,9.467055327370591,1.855398227324331,7.4401326484549015,-15.00000000000018,-14.999999999999845,-260.0000000000058,5.802862165792067e-12,5,3.128661774098873e-09
-10.0,-15.0,-260.0,ok,ok,9.57748751621598,2.898522720002549,6.623489585904117,-9.999999999999849,-15.000000000000757,-260.00000000000193,2.0810268667809665e-12,5,1.1350493878126144e-09
-5.0,-15.0,-260.0,ok,ok,9.643756803120631,3.8975236027607334,5.760550924734867,-4.999999999999882,-14.99999999999958,-260.0000000000013,1.3780388006582461e-12,5,5.675246939063072e-10
0.0,-15.0,-260.0,ok,ok,9.665848247955193,4.851728798573467,4.851728798573467,4.576818214922479e-15,-14.999999999999224,-260.00000000000114,1.3766199792301736e-12,5,4.94765117764473e-10
5.0,-15.0,-260.0,ok,ok,9.643756803120631,5.760550924734867,3.8975236027607334,4.999999999999882,-14.99999999999958,-260.0000000000013,1.3780388006582461e-12,5,5.675246939063072e-10
10.0,-15.0,-260.0,ok,ok,9.57748751621598,6.623489585904117,2.898522720002549,9.999999999999849,-15.000000000000757,-260.00000000000193,2.0810268667809665e-12,5,1.1350493878126144e-09
15.0,-15.0,-260.0,ok,ok,9.467055327370591,7.4401326484549015,1.855398227324331,15.00000000000018,-14.999999999999845,-260.0000000000058,5.802862165792067e-12,5,3.128661774098873e-09
20.0,-15.0,-260.0,ok,ok,9.312484462191412,8.210156489691583,0.7689036111922168,20.000000000001705,-15.000000000000401,-260.0000000000226,2.2691411436789118e-11,5,1.234002411365509e-08
25.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
30.0,-15.0,-260.0,fail,ik_reject,,,,,,,,,
-30.0,-10.0,-260.0,fail,ik_reject,,,,,,,,,
-25.0,-10.0,-260.0,ok,ok,8.160018540174642,0.28715264764938886,9.574475325253065,-25.000000000005233,-10.000000000001917,-260.00000000004684,4.716936830835005e-11,5,2.60770320892334e-08
